CodeEmploiGrade_neg;LibelleEmploiNEG;FiliereNEG;CadredemploiNEG;etatemploigrade;CodeNETNEH_neg;CodeNETNEH;libelleNETNEH;cadredemploiNETNEH;FiliereNETNEH
0001;ADMINISTRATEUR HORS CLASSE;ADMINISTRATIF;Administrateur territoriaux;1;TAD2;TAD2;Administrateur hors classe;administrateurs territoriaux;Filière administrative
0002;ADMINISTRATEUR DE PREMIERE CLASSE;ADMINISTRATIF;Administrateur territoriaux;8;AAD1-2;TAD1;Administrateur;administrateurs territoriaux;Filière administrative
0003;ADMINISTRATEUR DE DEUXIEME CLASSE;ADMINISTRATIF;Administrateur territoriaux;8;AAD1-1;TAD1;Administrateur;administrateurs territoriaux;Filière administrative
0004;DIRECTEUR DE CLASSE EXCEPTIONNELLE;ADMINISTRATIF;Attaches territoriaux;8;;TAT3;Directeur territorial;attachés territoriaux;Filière administrative
0005;DIRECTEUR TERRITORIAL DE CLASSE NORMALE;ADMINISTRATIF;Attaches territoriaux;8;;TAT3;Directeur territorial;attachés territoriaux;Filière administrative
0006;ATTACHE PRINCIPAL;ADMINISTRATIF;Attaches territoriaux;8;;TAT2;Attaché principal;attachés territoriaux;Filière administrative
0007;ATTACHE DE PREMIERE CLASSE;ADMINISTRATIF;Attaches territoriaux;8;;TAT1;Attaché;attachés territoriaux;Filière administrative
0008;ATTACHE DE DEUXIEME CLASSE;ADMINISTRATIF;Attaches territoriaux;8;;TAT1;Attaché;attachés territoriaux;Filière administrative
0009;SECRETAIRE DE MAIRIE TERRITORIAL;ADMINISTRATIF;Secretaires de mairie;8;;TAS1;Secrétaire de mairie;secrétaires de mairie;Filière administrative
0010;REDACTEUR CHEF;ADMINISTRATIF;Redacteurs territoriaux;8;;TAR3;Rédacteur-chef;rédacteurs territoriaux;Filière administrative
0011;REDACTEUR PRINCIPAL;ADMINISTRATIF;Redacteurs territoriaux;8;;TAR1;Rédacteur;rédacteurs territoriaux;Filière administrative
0012;REDACTEUR;ADMINISTRATIF;Redacteurs territoriaux;8;;TAR1;Rédacteur;rédacteurs territoriaux;Filière administrative
0013;ADJOINT ADMINISTRATIF;ADMINISTRATIF;Adjoints administratifs territoriaux;8;AAJ1;TAJ2;Adjoint administratif de 1ère classe;adjoints administratifs territoriaux;Filière administrative
0014;ADJOINT ADMINISTRATIF PRINCIPAL 2E CLASSE;ADMINISTRATIF;Adjoints administratifs territoriaux;1;TAJ3;TAJ3;Adjoint administratif principal de 2ème classe;adjoints administratifs territoriaux;Filière administrative
0015;AGENT ADMINISTRATIF * (E05);ADMINISTRATIF;Agents administratifs territoriaux;8;AAG3;TAJ1;Adjoint administratif de 2ème classe;adjoints administratifs territoriaux;Filière administrative
0016;AGENT ADMINISTRATIF QUALIFIE;ADMINISTRATIF;Agents administratifs territoriaux;8;AAG2;TAJ1;Adjoint administratif de 2ème classe;adjoints administratifs territoriaux;Filière administrative
0017;AGENT ADMINISTRATIF;ADMINISTRATIF;Agents administratifs territoriaux;8;AAG1;TAJ1;Adjoint administratif de 2ème classe;adjoints administratifs territoriaux;Filière administrative
0018;AGENT DE BUREAU;ADMINISTRATIF;Agents de bureau territoriaux;8;;TAJ1;Adjoint administratif de 2ème classe;adjoints administratifs territoriaux;Filière administrative
0019;TECHNICIEN TERRITORIAL CHEF;TECHNIQUE;Techniciens territoriaux;8;;TTT3;Technicien supérieur chef;techniciens supérieurs territoriaux;Filière technique
0020;TECHNICIEN TERRITORIAL PRINCIPAL;TECHNIQUE;Techniciens territoriaux;8;;TTT1;Technicien supérieur;techniciens supérieurs territoriaux;Filière technique
0021;TECHNICIEN TERRITORIAL;TECHNIQUE;Techniciens territoriaux;8;;TTT1;Technicien supérieur;techniciens supérieurs territoriaux;Filière technique
0022;AGENT DE MAITRISE PRINCIPAL;TECHNIQUE;Agents de maitrise territoriaux;8;;TTO1;Contrôleur de travaux;contrôleurs territoriaux de travaux;Filière technique
0023;AGENT DE MAITRISE QUALIFIE;TECHNIQUE;Agents de maitrise territoriaux;8;ATM2;TTM2;Agent de maîtrise principal;agents de maîtrise territoriaux;Filière technique
0024;AGENT DE MAITRISE;TECHNIQUE;Agents de maitrise territoriaux;1;TTM1;TTM1;Agent de maîtrise;agents de maîtrise territoriaux;Filière technique
0025;AGENT TECHNIQUE PRINCIPAL;TECHNIQUE;Agents technique territoriaux;8;ATH3;TTH3;Adjoint technique principal de 2ème classe;adjoints techniques territoriaux;Filière technique
0026;AGENT TECHNIQUE QUALIFIE;TECHNIQUE;Agents technique territoriaux;8;ATH2;TTH2;Adjoint  technique de 1ère classe;adjoints techniques territoriaux;Filière technique
0027;AGENT TECHNIQUE;TECHNIQUE;Agents technique territoriaux;8;ATH1;TTH1;Adjoint  technique de 2ème classe;adjoints techniques territoriaux;Filière technique
