,date_effet_grille,ib,code_grade_NETNEH,echelon,max_mois,min_mois,moy_mois,libelle_FP,libelle_grade_NEG,code_grade_NEG,code_grade
7613,2006-01-11,281,TTH1,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7614,2006-01-11,287,TTH1,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7615,2006-01-11,293,TTH1,03,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7616,2006-01-11,298,TTH1,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7617,2006-01-11,305,TTH1,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7618,2006-01-11,314,TTH1,06,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7619,2006-01-11,324,TTH1,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7620,2006-01-11,333,TTH1,08,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7621,2006-01-11,347,TTH1,09,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7622,2006-01-11,364,TTH1,10,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7623,2006-01-11,388,TTH1,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7624,2008-01-07,297,TTH1,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7625,2008-01-07,298,TTH1,02,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7626,2008-01-07,299,TTH1,03,24,18,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7627,2008-01-07,303,TTH1,04,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7628,2008-01-07,310,TTH1,05,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7629,2008-01-07,318,TTH1,06,36,24,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7630,2008-01-07,328,TTH1,07,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7631,2008-01-07,337,TTH1,08,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7632,2008-01-07,348,TTH1,09,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7633,2008-01-07,364,TTH1,10,48,36,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7634,2008-01-07,388,TTH1,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7635,2014-01-02,330,TTH1,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7636,2014-01-02,334,TTH1,02,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7637,2014-01-02,336,TTH1,03,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7638,2014-01-02,337,TTH1,04,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7639,2014-01-02,339,TTH1,05,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7640,2014-01-02,340,TTH1,06,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7641,2014-01-02,342,TTH1,07,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7642,2014-01-02,349,TTH1,08,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7643,2014-01-02,358,TTH1,09,36,30,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7644,2014-01-02,374,TTH1,10,48,40,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7645,2014-01-02,393,TTH1,11,-1,-1,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7646,2015-01-01,340,TTH1,01,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7647,2015-01-01,341,TTH1,02,12,12,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7648,2015-01-01,342,TTH1,03,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
7649,2015-01-01,343,TTH1,04,24,20,-1,FONCTION PUBLIQUE TERRITORIALE,ADJOINT TECHNIQUE DE 2EME CLASSE,793,793
