grade	nb_cas	condition duree grade	condition echelon	condition duree dans echelon
ADJOINT TECHNIQUE DE 2EME CLASSE	2	3	4	0
ADJOINT TECHNIQUE DE 2EME CLASSE	2	10	7	0
ADJOINT TECHNIQUE DE 1ERE CLASSE	1	6	5	0
ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE	1	5	6	2			
ADJOINT TECHNIQUE PRINCIPAL DE 1ERE CLASSE	99	99	99	99			
ADJOINT ADMINISTRATIF 2EME CLASSE	2	3	4	0
ADJOINT ADMINISTRATIF DE 2EME CLASSE	2	10	7	0
ADJOINT ADMINISTRATIF DE 1ERE CLASSE	1	6	5	0
ADJOINT ADMINISTRATIF PRINCIPAL DE 2EME CLASSE	1	5	6	2			
ADJOINT ADMINISTRATIF PRINCIPAL DE 1ERE CLASSE	99	99	99	99	
