,date_effet_grille,ib,code_grade_NETNEH,echelon,max_mois,min_mois,moy_mois,libelle_FP,libelle_grade_NEG,code_grade_NEG,code_grade,annee_effet
2,2005-06-08,801,0340,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION HORS CLASSE,745,745,2005
3,2005-06-08,852,0340,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION HORS CLASSE,745,745,2005
4,2005-06-08,901,0340,3,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION HORS CLASSE,745,745,2005
5,2005-06-08,966,0340,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION HORS CLASSE,745,745,2005
6,2005-06-08,1015,0340,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION HORS CLASSE,745,745,2005
13,2015-01-01,801,0340,1,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION HORS CLASSE,745,745,2015
14,2015-01-01,852,0340,2,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION HORS CLASSE,745,745,2015
15,2015-01-01,901,0340,3,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION HORS CLASSE,745,745,2015
16,2015-01-01,966,0340,4,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION HORS CLASSE,745,745,2015
17,2015-01-01,1015,0340,5,-1,-1,36,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION HORS CLASSE,745,745,2015
27,2005-06-08,528,0342,1,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CL NORMALE,746,746,2005
28,2005-06-08,588,0342,2,-1,-1,12,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CL NORMALE,746,746,2005
29,2005-06-08,655,0342,3,-1,-1,12,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CL NORMALE,746,746,2005
30,2005-06-08,701,0342,4,-1,-1,12,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CL NORMALE,746,746,2005
31,2005-06-08,750,0342,5,-1,-1,12,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CL NORMALE,746,746,2005
32,2005-06-08,801,0342,6,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CL NORMALE,746,746,2005
33,2005-06-08,852,0342,7,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CL NORMALE,746,746,2005
34,2005-06-08,901,0342,8,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CL NORMALE,746,746,2005
35,2005-06-08,966,0342,9,-1,-1,24,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CL NORMALE,746,746,2005
36,2005-06-08,990,0342,10,-1,-1,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CL NORMALE,746,746,2005
37,2005-06-08,359,0360,1,12,12,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CLASSE PROVISOIRE (*),748,748,2005
38,2005-06-08,416,0360,2,30,18,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CLASSE PROVISOIRE (*),748,748,2005
39,2005-06-08,458,0360,3,30,18,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CLASSE PROVISOIRE (*),748,748,2005
40,2005-06-08,504,0360,4,30,18,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CLASSE PROVISOIRE (*),748,748,2005
41,2005-06-08,562,0360,5,30,18,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CLASSE PROVISOIRE (*),748,748,2005
42,2005-06-08,619,0360,6,30,18,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CLASSE PROVISOIRE (*),748,748,2005
43,2005-06-08,656,0360,7,30,18,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CLASSE PROVISOIRE (*),748,748,2005
44,2005-06-08,678,0360,8,45,27,-1,FONCTION PUBLIQUE HOSPITALIERE,PERSONNEL DE DIRECTION CLASSE PROVISOIRE (*),748,748,2005
