code_grade_NEG	code_FP	libelle_FP	code_etat_grade	libelle_grade_NEG	categh	code_type_groupe	echelon	echelle	date_effet_grille	ib	min_mois	max_mois	moy_mois	code_grade_NETNEH	type_grade
1031	510	FONCTION PUBLIQUE HOSPITALIERE	1	DIRECTEUR GENERAL C H U - C H R SUR CONTRAT			D2		29/07/2009	1575				0010	
1031	510	FONCTION PUBLIQUE HOSPITALIERE	1	DIRECTEUR GENERAL C H U - C H R SUR CONTRAT			E2		29/07/2009	1725				0010	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		01		06/08/2005	801			24	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		02		06/08/2005	852			24	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		03		06/08/2005	901			24	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		04		06/08/2005	966			36	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		05		06/08/2005	1015			36	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		A1		06/08/2005	1100			12	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		A2		06/08/2005	1150			12	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		A3		06/08/2005	1216			12	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		B1		06/08/2005	1216			12	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		B2		06/08/2005	1275			12	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		B3		06/08/2005	1350				0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		01		01/01/2015	801			24	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		02		01/01/2015	852			24	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		03		01/01/2015	901			24	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		04		01/01/2015	966			36	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		05		01/01/2015	1015			36	0340	
0745	510	FONCTION PUBLIQUE HOSPITALIERE	1	PERSONNEL DE DIRECTION HORS CLASSE	A		A1		01/01/2015	1100	12		12	0340	
