code_grade_NEG;code_etat_grade;libelle_grade_NEG;categh;code_FP;code_cadre_corps;code_etat_cadre_corps;libelle_cadre_corps;code_filiere
0001;1;ADMINISTRATEUR HORS CLASSE;A;110;1;1;ADMINISTRATEURS TERRITORIAUX;1
0002;8;ADMINISTRATEUR DE PREMIERE CLASSE;A;110;1;1;ADMINISTRATEURS TERRITORIAUX;1
0003;8;ADMINISTRATEUR DE DEUXIEME CLASSE;A;110;1;1;ADMINISTRATEURS TERRITORIAUX;1
0004;8;DIRECTEUR DE CLASSE EXCEPTIONNELLE;A;110;2;1;ATTACHES TERRITORIAUX;1
0005;8;DIRECTEUR TERRITORIAL DE CLASSE NORMALE;A;110;2;1;ATTACHES TERRITORIAUX;1
0006;8;ATTACHE PRINCIPAL;A;110;2;1;ATTACHES TERRITORIAUX;1
0007;8;ATTACHE DE PREMIERE CLASSE;A;110;2;1;ATTACHES TERRITORIAUX;1
0008;8;ATTACHE DE DEUXIEME CLASSE;A;110;2;1;ATTACHES TERRITORIAUX;1
0009;8;SECRETAIRE DE MAIRIE TERRITORIAL;B;110;3;1;SECRETAIRES DE MAIRIE;1
0010;8;REDACTEUR CHEF;B;110;4;1;REDACTEURS TERRITORIAUX;1
0011;8;REDACTEUR PRINCIPAL;B;110;4;1;REDACTEURS TERRITORIAUX;1
0012;8;REDACTEUR;B;110;4;1;REDACTEURS TERRITORIAUX;1
0013;8;ADJOINT ADMINISTRATIF;C;110;5;1;ADJOINTS ADMINISTRATIFS TERRITORIAUX;1
0014;1;ADJOINT ADMINISTRATIF PRINCIPAL 2E CLASSE;C;110;5;1;ADJOINTS ADMINISTRATIFS TERRITORIAUX;1
0015;8;AGENT ADMINISTRATIF * (E05);C;110;6;1;AGENTS ADMINISTRATIFS TERRITORIAUX;1
0016;8;AGENT ADMINISTRATIF QUALIFIE;C;110;6;1;AGENTS ADMINISTRATIFS TERRITORIAUX;1
0017;8;AGENT ADMINISTRATIF;C;110;6;1;AGENTS ADMINISTRATIFS TERRITORIAUX;1
0018;8;AGENT DE BUREAU;D;110;7;1;AGENTS DE BUREAU TERRITORIAUX;1
0019;8;TECHNICIEN TERRITORIAL CHEF;B;110;8;1;TECHNICIENS TERRITORIAUX;2
0020;8;TECHNICIEN TERRITORIAL PRINCIPAL;B;110;8;1;TECHNICIENS TERRITORIAUX;2
0021;8;TECHNICIEN TERRITORIAL;B;110;8;1;TECHNICIENS TERRITORIAUX;2
0022;8;AGENT DE MAITRISE PRINCIPAL;C;110;9;1;AGENTS DE MAITRISE TERRITORIAUX;2
0023;8;AGENT DE MAITRISE QUALIFIE;C;110;9;1;AGENTS DE MAITRISE TERRITORIAUX;2
0024;1;AGENT DE MAITRISE;C;110;9;1;AGENTS DE MAITRISE TERRITORIAUX;2
0025;8;AGENT TECHNIQUE PRINCIPAL;C;110;10;1;AGENTS TECHNIQUES TERRITORIAUX;2
0026;8;AGENT TECHNIQUE QUALIFIE;C;110;10;1;AGENTS TECHNIQUES TERRITORIAUX;2
0027;8;AGENT TECHNIQUE;C;110;10;1;AGENTS TECHNIQUES TERRITORIAUX;2
0028;8;AIDE AGENT TECHNIQUE;C;110;10;1;AGENTS TECHNIQUES TERRITORIAUX;2
0029;8;CHEF DE GARAGE;C;110;11;1;CONDUCTEURS TERRITORIAUX DE VEHICULES;2
0030;8;CONDUCTEUR SPECIALISE 2EME NIVEAU;C;110;11;1;CONDUCTEURS TERRITORIAUX DE VEHICULES;2
