code_grade_NEG;code_etat_grade;libelle_grade_NEG;code_FP;code_grade_NEG_rempl;date_supp_remp_grille;code_etat_grade_rempl;libelle_grade_NEG_rempl
0002;8;ADMINISTRATEUR DE PREMIERE CLASSE;110;0720;25/07/2003;1;ADMINISTRATEUR
0003;8;ADMINISTRATEUR DE DEUXIEME CLASSE;110;0720;25/07/2003;1;ADMINISTRATEUR
0004;8;DIRECTEUR DE CLASSE EXCEPTIONNELLE;110;0509;01/08/1994;8;DIRECTEUR TERRITORIAL
0004;8;DIRECTEUR DE CLASSE EXCEPTIONNELLE;110;0526;01/08/1994;8;DIRECTEUR TERRITORIAL (***)
0005;8;DIRECTEUR TERRITORIAL DE CLASSE NORMALE;110;0509;01/08/1994;8;DIRECTEUR TERRITORIAL
0005;8;DIRECTEUR TERRITORIAL DE CLASSE NORMALE;110;0525;01/08/1994;8;DIRECTEUR TERRITORIAL (**)
0006;8;ATTACHE PRINCIPAL;110;0511;01/08/1994;8;ATTACHE PRINCIPAL DE DEUXIEME CLASSE
0006;8;ATTACHE PRINCIPAL;110;0524;01/08/1994;8;ATTACHE PRINCIPAL DE DEUXIEME CLASSE (**)
0007;8;ATTACHE DE PREMIERE CLASSE;110;0443;01/08/1993;1;ATTACHE
0008;8;ATTACHE DE DEUXIEME CLASSE;110;0443;01/08/1993;1;ATTACHE
0009;8;SECRETAIRE DE MAIRIE TERRITORIAL;110;0555;08/02/1996;1;SECRETAIRE DE MAIRIE (*)
0010;8;REDACTEUR CHEF;110;0527;01/01/1997;8;REDACTEUR CHEF
0010;8;REDACTEUR CHEF;110;0586;01/01/1997;8;REDACTEUR CHEF(*)
0011;8;REDACTEUR PRINCIPAL;110;0543;01/08/1995;8;REDACTEUR
0012;8;REDACTEUR;110;0543;01/08/1995;8;REDACTEUR
0013;8;ADJOINT ADMINISTRATIF;110;0792;01/11/2006;1;ADJOINT ADMINISTRATIF DE 1ERE CLASSE
0015;8;AGENT ADMINISTRATIF * (E05);110;0820;01/11/2006;1;ADJOINT ADMINISTRATIF * (E05)
0016;8;AGENT ADMINISTRATIF QUALIFIE;110;0791;01/11/2006;1;ADJOINT ADMINISTRATIF DE 2EME CLASSE
0017;8;AGENT ADMINISTRATIF;110;0016;03/11/2005;8;AGENT ADMINISTRATIF QUALIFIE
0018;8;AGENT DE BUREAU;110;0017;01/02/1991;8;AGENT ADMINISTRATIF
0019;8;TECHNICIEN TERRITORIAL CHEF;110;0528;01/01/1997;8;TECHNICIEN SUPERIEUR CHEF (TECHNICIEN CHEF)
0020;8;TECHNICIEN TERRITORIAL PRINCIPAL;110;0537;01/08/1995;8;TECHNICIEN SUPERIEUR (TECHNICIEN)
0021;8;TECHNICIEN TERRITORIAL;110;0537;01/08/1995;8;TECHNICIEN SUPERIEUR (TECHNICIEN)
0022;8;AGENT DE MAITRISE PRINCIPAL;110;0548;01/08/1995;8;CONTROLEUR DE TRAVAUX
0023;8;AGENT DE MAITRISE QUALIFIE;110;0551;01/11/2006;1;AGENT DE MAITRISE PRINCIPAL
0025;8;AGENT TECHNIQUE PRINCIPAL;110;0795;01/11/2006;1;ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE
0026;8;AGENT TECHNIQUE QUALIFIE;110;0794;01/11/2006;1;ADJOINT TECHNIQUE DE 1ERE CLASSE
0027;8;AGENT TECHNIQUE;110;0793;01/11/2006;1;ADJOINT TECHNIQUE DE 2EME CLASSE
0028;8;AIDE AGENT TECHNIQUE;110;0037;01/08/1990;8;AGENT D ENTRETIEN
0029;8;CHEF DE GARAGE;110;0025;01/11/2005;8;AGENT TECHNIQUE PRINCIPAL
0030;8;CONDUCTEUR SPECIALISE 2EME NIVEAU;110;0026;01/11/2005;8;AGENT TECHNIQUE QUALIFIE
0031;8;CONDUCTEUR SPECIALISE 1ER NIVEAU;110;0027;03/11/2005;8;AGENT TECHNIQUE
0032;8;CONDUCTEUR;110;0769;01/11/2005;8;AGENT DES SERVICES TECHNIQUES
0033;8;AGENT DE SALUBRITE PRINCIPAL;110;0795;01/11/2006;1;ADJOINT TECHNIQUE PRINCIPAL DE 2EME CLASSE
0034;8;AGENT DE SALUBRITE QUALIFIE;110;0794;01/11/2006;1;ADJOINT TECHNIQUE DE 1ERE CLASSE
0035;8;AGENT DE SALUBRITE;110;0793;01/11/2006;1;ADJOINT TECHNIQUE DE 2EME CLASSE
0036;8;AGENT D ENTRETIEN QUALIFIE;110;0769;01/11/2005;8;AGENT DES SERVICES TECHNIQUES
0037;8;AGENT D ENTRETIEN;110;0769;01/11/2005;8;AGENT DES SERVICES TECHNIQUES
0044;8;INFIRMIER CLASSE NORMALE;510;0451;01/08/1993;1;INFIRMIER DE CLASSE NORMALE(*)
0045;8;INFIRMIER CLASSE SUPERIEURE;510;0451;01/08/1993;1;INFIRMIER DE CLASSE NORMALE(*)
0046;8;INFIRMIER SURVEILLANT DES SERVICES MEDICAUX;510;0681;31/12/2003;1;INFIRMIER CADRE DE SANTE (*)
0047;8;INFIRMIER DE SALLE D'OPERATION DE CLASSE NORMALE;510;0448;01/08/1993;1;INFIRMIER DE BLOC OPERATOIRE DE CLASSE NORMALE (*)
0048;8;INFIRMIER DE SALLE D'OPERATION DE CLASSE SUPERIEURE;510;0448;01/08/1993;1;INFIRMIER DE BLOC OPERATOIRE DE CLASSE NORMALE (*)
0049;8;INFIRMIER DE BLOC OPERATOIRE, SURVEILLANT DES SERVICES;510;0682;31/12/2003;1;INFIRMIER DE BLOC OPERATOIRE CADRE DE SANTE (*)
