,c_netneh,transition,population,cdf
annees_2010_2014,,1,357851,0.518750190263
annees_2010_2014,,2,518157,0.751133970106
annees_2010_2014,,0,639526,0.927073654058
annees_2010_2014,,3,684806,0.992712729023
annees_2010_2014,,4,689632,0.999708625131
annees_2010_2014,TAT1,0,689650,0.999734718403
annees_2010_2014,TAR1,0,689665,0.999756462796
annees_2010_2014,TAT1,1,689679,0.999776757563
annees_2010_2014,TMP1,0,689690,0.999792703451
annees_2010_2014,TAJ1,1,689698,0.999804300461
annees_2010_2014,TAR1,1,689705,0.999814447845
annees_2010_2014,TAJ1,0,689712,0.999824595228
annees_2010_2014,TAJ1,2,689718,0.999833292985
annees_2010_2014,TMP1,1,689724,0.999841990743
annees_2010_2014,TTT1,1,689728,0.999847789248
annees_2010_2014,TTH1,0,689732,0.999853587752
annees_2010_2014,TAR3,1,689735,0.999857936631
annees_2010_2014,TNJ1,1,689738,0.99986228551
annees_2010_2014,TAJ1,3,689741,0.999866634388
annees_2010_2014,3256,2,689744,0.999870983267
annees_2010_2014,3001,2,689747,0.999875332146
annees_2010_2014,TTT2,1,689750,0.999879681024
annees_2010_2014,TTH1,2,689753,0.999884029903
annees_2010_2014,TTG1,0,689756,0.999888378782
annees_2010_2014,TON2,1,689758,0.999891278034
annees_2010_2014,TMH1,2,689760,0.999894177286
annees_2010_2014,TTT2,0,689762,0.999897076539
annees_2010_2014,TAJ2,0,689764,0.999899975791
annees_2010_2014,TAR2,0,689766,0.999902875044
annees_2010_2014,TTT1,0,689768,0.999905774296
annees_2010_2014,2432,1,689770,0.999908673549
annees_2010_2014,TTH1,3,689772,0.999911572801
annees_2010_2014,TMB1,0,689774,0.999914472053
annees_2010_2014,TON1,1,689776,0.999917371306
annees_2010_2014,TMB1,1,689778,0.999920270558
annees_2010_2014,TAJ2,1,689780,0.999923169811
annees_2010_2014,TAJ2,2,689782,0.999926069063
annees_2010_2014,TNJ1,0,689784,0.999928968316
annees_2010_2014,2432,3,689786,0.999931867568
annees_2010_2014,1326,2,689787,0.999933317194
annees_2010_2014,2611,2,689788,0.99993476682
annees_2010_2014,2641,2,689789,0.999936216447
annees_2010_2014,2661,0,689790,0.999937666073
annees_2010_2014,2753,1,689791,0.999939115699
annees_2010_2014,TAJ1,4,689792,0.999940565325
annees_2010_2014,3256,1,689793,0.999942014951
annees_2010_2014,1423,2,689794,0.999943464578
annees_2010_2014,2611,1,689795,0.999944914204
annees_2010_2014,3002,1,689796,0.99994636383
annees_2010_2014,4437,0,689797,0.999947813456
annees_2010_2014,4207,1,689798,0.999949263083
annees_2010_2014,2459,1,689799,0.999950712709
annees_2010_2014,2452,1,689800,0.999952162335
annees_2010_2014,3001,1,689801,0.999953611961
annees_2010_2014,TTT3,3,689802,0.999955061587
annees_2010_2014,TAJ2,3,689803,0.999956511214
annees_2010_2014,TOF1,3,689804,0.99995796084
annees_2010_2014,TTT3,0,689805,0.999959410466
annees_2010_2014,TTT1,2,689806,0.999960860092
annees_2010_2014,TTM2,0,689807,0.999962309718
annees_2010_2014,TTM1,0,689808,0.999963759345
annees_2010_2014,TTH3,0,689809,0.999965208971
annees_2010_2014,TTH2,0,689810,0.999966658597
annees_2010_2014,TTH1,1,689811,0.999968108223
annees_2010_2014,TTA2,2,689812,0.99996955785
annees_2010_2014,TTA1,1,689813,0.999971007476
annees_2010_2014,TTA1,0,689814,0.999972457102
annees_2010_2014,TRL2,3,689815,0.999973906728
annees_2010_2014,TOK1,2,689816,0.999975356354
annees_2010_2014,TOJ1,0,689817,0.999976805981
annees_2010_2014,TNN1,0,689818,0.999978255607
annees_2010_2014,TAJ3,2,689819,0.999979705233
annees_2010_2014,TNJ2,3,689820,0.999981154859
annees_2010_2014,TNJ2,1,689821,0.999982604485
annees_2010_2014,TMP2,0,689822,0.999984054112
annees_2010_2014,TMP1,2,689823,0.999985503738
annees_2010_2014,TMH2,2,689824,0.999986953364
annees_2010_2014,TCJ2,0,689825,0.99998840299
annees_2010_2014,TCG3,3,689826,0.999989852617
annees_2010_2014,TCG3,2,689827,0.999991302243
annees_2010_2014,TCG1,3,689828,0.999992751869
annees_2010_2014,TTT3,2,689829,0.999994201495
annees_2010_2014,TAT1,2,689830,0.999995651121
annees_2010_2014,TAR3,0,689831,0.999997100748
annees_2010_2014,TAR1,4,689832,0.999998550374
annees_2010_2014,TCF1,2,689833,1.0
annees_2010_2014_purgees,TAT1,0,18,0.163636363636
annees_2010_2014_purgees,TAR1,0,33,0.3
annees_2010_2014_purgees,TMP1,0,44,0.4
annees_2010_2014_purgees,TAJ1,0,51,0.463636363636
annees_2010_2014_purgees,TTH1,0,55,0.5
annees_2010_2014_purgees,TAR1,1,59,0.536363636364
annees_2010_2014_purgees,TTG1,0,62,0.563636363636
annees_2010_2014_purgees,TAT1,1,65,0.590909090909
annees_2010_2014_purgees,TTT1,1,68,0.618181818182
annees_2010_2014_purgees,TNJ1,0,70,0.636363636364
annees_2010_2014_purgees,TAR2,0,72,0.654545454545
annees_2010_2014_purgees,TAJ2,0,74,0.672727272727
annees_2010_2014_purgees,TNJ1,1,76,0.690909090909
annees_2010_2014_purgees,TAJ1,3,78,0.709090909091
annees_2010_2014_purgees,TAJ1,1,80,0.727272727273
annees_2010_2014_purgees,TTT1,0,82,0.745454545455
annees_2010_2014_purgees,TTT2,0,84,0.763636363636
annees_2010_2014_purgees,TTT2,1,86,0.781818181818
annees_2010_2014_purgees,TMB1,0,88,0.8
annees_2010_2014_purgees,TCJ2,0,89,0.809090909091
annees_2010_2014_purgees,TAJ1,2,90,0.818181818182
annees_2010_2014_purgees,4437,0,91,0.827272727273
annees_2010_2014_purgees,3001,2,92,0.836363636364
annees_2010_2014_purgees,TAR3,0,93,0.845454545455
annees_2010_2014_purgees,3001,1,94,0.854545454545
annees_2010_2014_purgees,TTT3,3,95,0.863636363636
annees_2010_2014_purgees,TMP2,0,96,0.872727272727
annees_2010_2014_purgees,TTT3,0,97,0.881818181818
annees_2010_2014_purgees,TNJ2,3,98,0.890909090909
annees_2010_2014_purgees,TNN1,0,99,0.9
annees_2010_2014_purgees,TOF1,3,100,0.909090909091
annees_2010_2014_purgees,TOJ1,0,101,0.918181818182
annees_2010_2014_purgees,TTA1,0,102,0.927272727273
annees_2010_2014_purgees,TTA1,1,103,0.936363636364
annees_2010_2014_purgees,TTH1,1,104,0.945454545455
annees_2010_2014_purgees,TTH1,3,105,0.954545454545
annees_2010_2014_purgees,TTH2,0,106,0.963636363636
annees_2010_2014_purgees,TTH3,0,107,0.972727272727
annees_2010_2014_purgees,TTM1,0,108,0.981818181818
