,ident,echelon,period,grade
2,140,9,2011-01-31,793
13,159,5,2011-01-31,793
20,451,5,2011-01-31,793
29,533,9,2011-01-31,795
35,572,6,2011-01-31,795
47,647,5,2011-01-31,793
55,1102,4,2011-01-31,796
61,1298,9,2011-01-31,793
64,1327,6,2011-01-31,795
72,1339,6,2011-01-31,795
80,1353,11,2011-01-31,795
86,1366,8,2011-01-31,795
93,1503,7,2011-01-31,795
100,1530,9,2011-01-31,793
112,1566,7,2011-01-31,793
126,1626,6,2011-01-31,793
133,1651,8,2011-01-31,793
147,1703,7,2011-01-31,793
157,1763,8,2011-01-31,793
165,1854,11,2011-01-31,795
171,1873,9,2011-01-31,795
181,1882,6,2011-01-31,796
187,1897,5,2011-01-31,795
198,1976,8,2011-01-31,793
201,2078,6,2011-01-31,795
208,2088,7,2011-01-31,796
215,2100,5,2011-01-31,793
221,2165,3,2011-01-31,796
233,2309,7,2011-01-31,793
247,2339,6,2011-01-31,793
255,2385,5,2011-01-31,796
262,2387,5,2011-01-31,794
267,2455,8,2011-01-31,795
272,2461,9,2011-01-31,793
286,2513,9,2011-01-31,793
295,2589,9,2011-01-31,793
298,2641,9,2011-01-31,795
309,2645,7,2011-01-31,795
321,2664,5,2011-01-31,794
325,2720,6,2011-01-31,796
332,2721,9,2011-01-31,795
338,2751,11,2011-01-31,795
345,2780,11,2011-01-31,795
351,2798,7,2011-01-31,795
359,2804,9,2011-01-31,795
365,2926,9,2011-01-31,794
373,3055,5,2011-01-31,796
387,3086,8,2011-01-31,794
401,3122,10,2011-01-31,793
410,3183,6,2011-01-31,793
421,3283,11,2011-01-31,793
432,3332,8,2011-01-31,793
438,3425,6,2011-01-31,795
441,3481,9,2011-01-31,795
457,3538,9,2011-01-31,794
465,3597,6,2011-01-31,793
475,3611,8,2011-01-31,795
487,3685,7,2011-01-31,793
495,3709,9,2011-01-31,795
504,3804,10,2011-01-31,794
509,4020,10,2011-01-31,795
520,4035,10,2011-01-31,793
534,4134,9,2011-01-31,793
546,4320,6,2011-01-31,793
553,4335,10,2011-01-31,795
557,4356,10,2011-01-31,795
569,4415,9,2011-01-31,793
574,4472,6,2011-01-31,796
582,4539,11,2011-01-31,795
592,4565,11,2011-01-31,794
599,4574,6,2011-01-31,796
613,4628,8,2011-01-31,793
620,4662,7,2011-01-31,795
631,4668,9,2011-01-31,793
642,4696,7,2011-01-31,793
653,4776,11,2011-01-31,795
659,4853,7,2011-01-31,794
672,4856,7,2011-01-31,796
678,4911,8,2011-01-31,794
689,4948,9,2011-01-31,793
697,4969,6,2011-01-31,794
704,5001,10,2011-01-31,795
707,5043,11,2011-01-31,795
722,5045,10,2011-01-31,794
733,5093,8,2011-01-31,793
739,5165,8,2011-01-31,795
742,5225,6,2011-01-31,796
751,5392,9,2011-01-31,795
765,5437,5,2011-01-31,793
774,5590,8,2011-01-31,795
781,5617,9,2011-01-31,793
788,5620,5,2011-01-31,793
802,5668,10,2011-01-31,793
808,5898,5,2011-01-31,796
819,5921,11,2011-01-31,795
822,5957,11,2011-01-31,794
835,6000,7,2011-01-31,794
841,6030,5,2011-01-31,793
847,6051,9,2011-01-31,795
856,6058,7,2011-01-31,796
867,6094,10,2011-01-31,793
872,6204,9,2011-01-31,795
885,6327,6,2011-01-31,794
899,6347,9,2011-01-31,793
907,6369,4,2011-01-31,796
916,6486,9,2011-01-31,794
919,6541,9,2011-01-31,794
929,6544,5,2011-01-31,794
933,6546,3,2011-01-31,796
938,6576,10,2011-01-31,793
947,6579,8,2011-01-31,795
952,6589,4,2011-01-31,796
963,6614,8,2011-01-31,793
971,6652,9,2011-01-31,795
980,6794,6,2011-01-31,796
991,6870,8,2011-01-31,795
994,6881,9,2011-01-31,794
999,6906,9,2011-01-31,795
1007,6981,9,2011-01-31,795
1021,7049,8,2011-01-31,793
1030,7133,11,2011-01-31,794
1036,7205,6,2011-01-31,796
1043,7206,10,2011-01-31,795
1050,7221,7,2011-01-31,795
1061,7326,8,2011-01-31,795
1070,7358,10,2011-01-31,795
1074,7363,9,2011-01-31,794
1079,7365,7,2011-01-31,794
1087,7386,9,2011-01-31,795
1095,7392,9,2011-01-31,795
1106,7423,9,2011-01-31,793
1110,7427,9,2011-01-31,793
1121,7481,5,2011-01-31,793
1131,7504,11,2011-01-31,795
1140,7614,8,2011-01-31,793
1146,7694,4,2011-01-31,796
1156,7699,7,2011-01-31,796
1167,7863,5,2011-01-31,793
1179,7875,7,2011-01-31,796
1193,7893,5,2011-01-31,793
1200,7954,6,2011-01-31,796
1209,7966,6,2011-01-31,796
1216,7969,7,2011-01-31,795
1227,8014,5,2011-01-31,793
1238,8241,6,2011-01-31,794
1249,8292,11,2011-01-31,793
1254,8327,9,2011-01-31,795
1262,8451,5,2011-01-31,796
1269,8458,9,2011-01-31,795
1282,8475,11,2011-01-31,794
1286,8596,10,2011-01-31,795
1297,8598,5,2011-01-31,793
1308,8675,5,2011-01-31,793
1314,8716,7,2011-01-31,793
1328,8723,4,2011-01-31,793
1338,8780,6,2011-01-31,793
1349,8819,11,2011-01-31,795
1355,8830,11,2011-01-31,795
1363,8930,8,2011-01-31,795
1370,9079,7,2011-01-31,795
1384,9085,10,2011-01-31,793
1390,9104,4,2011-01-31,796
1402,9160,4,2011-01-31,794
1414,9192,9,2011-01-31,793
1422,9324,7,2011-01-31,795
1429,9461,6,2011-01-31,793
1437,9560,6,2011-01-31,795
1448,9568,8,2011-01-31,793
1454,9587,4,2011-01-31,796
1465,9600,5,2011-01-31,793
1476,9601,5,2011-01-31,793
1490,9617,10,2011-01-31,793
1499,9629,4,2011-01-31,796
1507,9757,9,2011-01-31,795
1516,9773,6,2011-01-31,796
1527,9831,7,2011-01-31,796
1533,9934,4,2011-01-31,796
1541,10018,5,2011-01-31,793
1552,10022,10,2011-01-31,795
1560,10047,8,2011-01-31,795
1564,10146,11,2011-01-31,795
1568,10203,5,2011-01-31,796
1582,10252,8,2011-01-31,793
1590,10329,7,2011-01-31,795
1597,10345,6,2011-01-31,793
1604,10392,8,2011-01-31,795
1611,10400,8,2011-01-31,793
1615,10402,9,2011-01-31,794
1622,10425,8,2011-01-31,793
1629,10484,6,2011-01-31,793
1635,10680,5,2011-01-31,796
1648,10732,6,2011-01-31,793
1654,10863,8,2011-01-31,795
1668,10927,5,2011-01-31,793
1682,10937,9,2011-01-31,793
1690,10991,11,2011-01-31,793
1697,11023,8,2011-01-31,794
1703,11050,9,2011-01-31,795
1710,11090,7,2011-01-31,795
1717,11177,5,2011-01-31,793
1731,11211,9,2011-01-31,793
1739,11288,7,2011-01-31,793
1744,11333,8,2011-01-31,795
1758,11435,8,2011-01-31,793
1765,11445,10,2011-01-31,795
