initial,y2432,y2801,yTAJ2,y2753,yTAJ1,yTTH1,y3001,y3002,yTTH2,yTTM1,yTAR1,yTTH3,y,yTMD1,yTMD2,y3003
x2432,61120.0,199.0,17.0,2743.0,14.0,25.0,46.0,4.0,4.0,4.0,6.0,7.0,5813.0,1.0,1.0,0.0
x2801,3.0,4886.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,227.0,0.0,0.0,0.0
xTAJ2,10.0,1.0,48616.0,1.0,121.0,16.0,12.0,0.0,96.0,8.0,987.0,23.0,3856.0,3.0,0.0,0.0
x2753,6.0,54.0,1.0,16851.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,559.0,0.0,0.0,0.0
xTAJ1,15.0,0.0,6346.0,0.0,76566.0,335.0,25.0,1.0,21.0,6.0,396.0,1.0,5511.0,11.0,1.0,0.0
xTTH1,15.0,0.0,48.0,3.0,431.0,153407.0,32.0,1.0,8231.0,372.0,8.0,327.0,8416.0,431.0,16.0,0.0
x3001,533.0,2.0,12.0,1.0,27.0,22.0,127082.0,5389.0,5.0,2.0,6.0,0.0,5900.0,7.0,0.0,2.0
x3002,41.0,0.0,0.0,0.0,0.0,2.0,15.0,14827.0,0.0,1.0,0.0,0.0,370.0,1.0,0.0,173.0
xTTH2,5.0,0.0,74.0,0.0,12.0,126.0,5.0,1.0,31342.0,887.0,0.0,11652.0,2006.0,45.0,12.0,0.0
xTTM1,5.0,0.0,1.0,0.0,0.0,8.0,1.0,1.0,6.0,20352.0,10.0,8.0,966.0,2.0,1.0,0.0
xTAR1,2.0,0.0,18.0,2.0,19.0,8.0,5.0,0.0,2.0,1.0,19997.0,1.0,2060.0,0.0,0.0,0.0
xTTH3,6.0,1.0,1.0,1.0,3.0,33.0,1.0,1.0,196.0,2443.0,4.0,41381.0,1666.0,4.0,13.0,0.0
x,5099.0,719.0,4590.0,470.0,10137.0,21439.0,10797.0,661.0,2394.0,1390.0,3667.0,1918.0,503303.0,2521.0,252.0,31.0
xTMD1,3.0,0.0,83.0,0.0,21.0,23.0,6.0,1.0,23.0,5.0,1.0,7.0,1038.0,17359.0,2234.0,0.0
xTMD2,1.0,0.0,7.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,119.0,103.0,3010.0,0.0
x3003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,507.0
