,Label corps en 2012,Nombre agents,Part du total,Part cumulee du total,taux de retention,taux de retention si chgmt grade,max taux de transition vers autre corps,autre corps ac. max taux de transition
0,Agents technique territoriaux,336163,0.204871255752,0.204871255752,0.980075323481,0.847482219738,0.0122835692889,Agents de maitrise territoriaux
1,Aides soignants,178694,0.108903312308,0.313774568059,0.988613116814,0.817223198594,0.00576835529842,Infirmiers en soins generaux et specialises
2,Adjoints administratifs territoriaux,146233,0.0891202730292,0.402894841088,0.978917424171,0.816996741038,0.0138336353725,Redacteurs territoriaux
3,Infirmiers en soins generaux et specialises,105737,0.0644403815096,0.467335222598,0.987413811973,,0.00430815764076,Infirmiers
4,Infirmiers,77216,0.047058536734,0.514393759332,0.984243357097,0.643446379468,0.00808759991359,Infirmiers en soins generaux et specialises
5,Agents des services hospitaliers qualifies,60046,0.0365944479995,0.550988207332,0.960717055934,,0.0286132896665,Aides soignants
6,Redacteurs territoriaux,38296,0.0233391230155,0.574327330347,0.975217774837,0.780624694973,0.0207023927666,Attaches territoriaux
7,Agents de maitrise territoriaux,36755,0.0223999756224,0.596727305969,0.979128420934,0.729105571848,0.0175953907419,Techniciens territoriaux
8,Adjoints administratifs hospitaliers,34874,0.0212536185514,0.617980924521,0.989069238141,0.782219570406,0.00332414949689,Secretaires medicaux
9,Adjoints d animation,31414,0.0191449553585,0.637125879879,0.969617849513,0.632183908046,0.00990132582822,Adjoints administratifs territoriaux
10,Attaches territoriaux,28216,0.0171959655057,0.654321845385,0.987622753382,0.84537037037,0.00804150453956,Emplois fonctionnels
11,Agents territoriaux specialises des ecoles maternelles,26325,0.0160435140324,0.670365359417,0.985267181652,0.921742808799,0.00541530620371,Adjoints administratifs territoriaux
12,Techniciens territoriaux,23187,0.0141310905933,0.684496450011,0.978640165483,0.759005580923,0.0161885061606,Ingenieurs
13,Ouvriers professionnels,21194,0.0129164762166,0.697412926227,0.942327297442,0.00834724540902,0.0449050924802,Maitres Ouvriers
14,Assistants territoriaux sociaux educatifs,20310,0.012377731054,0.709790657281,0.989869677624,0.891830985915,0.00306020155121,Conseillers territoriaux sociaux educatifs
15,Sapeurs pompiers professionnels non officiers,17709,0.010792577018,0.720583234299,0.995285618074,0.929616087751,0.00342864140084,Lieutenants de sapeurs pompiers professionnels
16,Auxiliaires de puericulture territoriaux,17113,0.0104293506414,0.731012584941,0.984649260774,0.926814637073,0.00572507077697,Adjoints administratifs territoriaux
17,Agents de police municipale,14914,0.00908919157754,0.740101776518,0.988755412767,0.906558328497,0.00335242352284,Chefs de service de police municipale
18,Agents sociaux territoriaux,13513,0.0082353658165,0.748337142335,0.9667939565,0.633363886343,0.00664120869998,Auxiliaires de soins territoriaux
